Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-1-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-2-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-3-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-4-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F7.mzML
P12270	P12270		TPR		1.85325e+06	1.23618e+06	1.92138e+06	1.2352e+06	1.33789e+06	1.10101e+06	2.90174e+06	1.13992e+06	734290	1.41728e+06	2.5617e+06	2.20841e+06	1.98358e+06	2.23167e+06	3.67281e+06	451874	656528	1.83701e+06	3.67422e+06			831863	142360	3.53538e+06	513933	1.86366e+06	110276		964060	1.27399e+06	499669	865771	769284	4.28976e+06	2.00949e+06		967243	1.04383e+06	933494	1.83961e+06	3.80668e+07	2.75635e+06	414083	460709	3.74819e+06	660040	1.18593e+06	1.80984e+06	2.83038e+07	3.06286e+07	1.98305e+06	2.19828e+06			2.23987e+07		4.84377e+07	
P12277	P12277		CKB		4.86755e+06	8.74806e+06	6.02849e+06	5.38272e+06	4.85549e+06	6.14462e+06		5.30645e+06	5.86101e+06				9.84099e+06		1.02976e+07	579496	5.07408e+06		1.17153e+07			4.5683e+06	1.74074e+06	9.05716e+06	1.30916e+07	612914			8.77099e+06	955955	802692	2.2504e+06	8.15521e+06	1.39153e+07	2.15724e+07		7.41222e+06	927500	1.40796e+07	9.2597e+06		1.10757e+06		1.16154e+06	1.20061e+07	3.5617e+06	6.46199e+06	7.99346e+06			7.88852e+06	9.27423e+06						
P12429	P12429		ANXA3		2.79022e+06	1.96e+06	2.98147e+06	1.81757e+06	1.73466e+06	1.62101e+06	1.11897e+06	1.36342e+06	1.01216e+06	2.83487e+06	1.11623e+06	1.03512e+06	720032	1.36288e+06	580214	1.89817e+06	973724	1.13759e+08	801750			1.17483e+06	7.06235e+07	666266	942443	2.24551e+06	9.29842e+07		1.61547e+06	4.05722e+06	8.90728e+07	2.02846e+06	857997	683193	694654		1.17799e+06	2.08251e+06	816042	8.36027e+06		3.05961e+06	1.01924e+08	9.01026e+07	589918	680865	918200	9.63345e+06			9.62428e+06	8.86022e+06				2.27023e+07		1.292e+08
P12532	P12532		CKMT1A		1.8281e+06	1.16129e+06	1.55717e+06	1.56277e+06	1.2396e+06	1.17062e+06	7.14075e+06	1.4967e+06	1.54335e+06	7.43238e+06	8.75723e+06	1.11373e+07	1.80573e+06	7.60461e+06	1.44218e+06	2.99785e+06	1.45859e+06	2.44171e+07	1.33519e+06			1.51592e+06	1.38842e+07	1.71977e+06	1.09108e+06	2.18923e+06	1.63607e+07		855358	3.6063e+06	1.60755e+07	1.5797e+06	1.23182e+06	1.36051e+06	1.47041e+06		1.52526e+06	2.20205e+06	1.42761e+06	1.87025e+06		2.50708e+06	1.55313e+07	1.26738e+07	1.05626e+06	1.45086e+06	1.2559e+06	1.54927e+06			1.56714e+06	1.87189e+06				1.12512e+08		1.14673e+09
P12694	P12694		BCKDHA		1.06249e+06	929095	1.26015e+06	985898	849337	1.07378e+06		901577	943177				2.32971e+06		1.66416e+06	324161	795444		1.3952e+06			1.04879e+06		1.46003e+06	2.01771e+06	267522			835842	420620		433081	814059	1.72485e+06	2.72088e+06		1.9789e+06	280849	2.29421e+06	509470		163838		421624	1.46528e+06	871545	946371	526292			458097	411858		8.85295e+06				
P12830	P12830		CDH1		1.74458e+06	2.25414e+06	1.31465e+06	2.2529e+06	2.21454e+06	2.03822e+06		2.30441e+06	2.57961e+06				858236		2.12854e+06		3.05799e+06		2.36425e+06			2.48446e+06		2.62032e+06	578395				2.1196e+06				2.37889e+06	2.1458e+06	1.82478e+06		360293		1.031e+06						2.13652e+06	2.83326e+06	2.66372e+06											
P12931	P12931		SRC		641385	435830	547956	466827	543930	485344		533772	299482				703142		261983	468840	321802		303122			383481		292124	699968	393204			562448	332071	95817.7	564242	245361	349688	749473		693108	394073	687600			369126			361469	250227	276256											
P12955	P12955		PEPD		2.11263e+06	1.04319e+06	2.04384e+06	1.55273e+06	1.47096e+06	1.32106e+06	3.48748e+06	1.15368e+06	791687	4.01747e+06	2.54556e+06	4.89215e+06	1.01415e+06	3.24148e+06	378911	6.2736e+06	557237	4.47535e+07	571533			956790	4.2482e+07	482773	1.07365e+06	5.7924e+06	4.73942e+07		1.35865e+06	9.79791e+06	5.02372e+07	3.06234e+06	621163	720180	1.00151e+06		1.63008e+06	4.2283e+06	1.06953e+06	2.19594e+06		5.93321e+06	4.77179e+07	4.32937e+07	551555	881315	548895	1.72409e+06			1.47374e+06	1.57848e+06						5.98401e+08
P12956	P12956		XRCC6		4.78312e+06	5.3049e+06	6.21837e+06	6.47246e+06	6.13052e+06	5.42221e+06		4.6916e+06	4.39033e+06	1.95948e+06	1.18862e+06	1.07599e+06	1.04754e+07	1.66362e+06	1.063e+07		4.05488e+06		8.16708e+06			4.82016e+06		7.29203e+06	4.26699e+06			1.68188e+08	5.21225e+06		1.03034e+06	617644	5.48176e+06	1.35522e+07	1.66943e+07	1.7229e+08	2.95668e+06	219544	1.03213e+07	9.76398e+06					9.51254e+06	6.3899e+06	5.43241e+06	1.08266e+07			1.03486e+07	9.74081e+06						
P13010	P13010		XRCC5		3.94675e+06	4.47099e+06	3.72077e+06	4.51936e+06	4.66658e+06	4.38367e+06	1.43054e+07	3.91534e+06	3.9156e+06				8.08357e+06		7.13986e+06	2.0078e+06	3.69973e+06		5.68577e+06			4.35553e+06		4.87061e+06	3.07771e+06	1.83388e+06			4.21055e+06	2.45747e+06	2.56873e+06	512270	4.32944e+06	9.59664e+06	1.04939e+07		2.49961e+06	2.0773e+06	7.61266e+06	7.04776e+06		1.74195e+06		1.07677e+06	6.40977e+06	4.215e+06	4.27272e+06	7.5382e+06			6.80371e+06	7.30309e+06						
P13051	P13051		UNG		189959	258228	154714	195504	266101	255595		167478	191900				272900		136754		130690		158338			170060		140593	328139	79753.2			191102	99965.1		161843	186303	174373	325920		366536	73515.8	299262	237679		66200.2			157675	133680	158698	185879			249412	232129						
P13073	P13073		COX4I1		5.94689e+06	3.73296e+06	5.56193e+06	3.31002e+06	3.38687e+06	3.76703e+06	9.05972e+07	3.06602e+06	2.48085e+06	1.01764e+08	9.7527e+07	1.19014e+08	1.37251e+06	1.34138e+08	2.16116e+06	3.90266e+06	1.91769e+06	4.03313e+07	2.44215e+06	4.3564e+07	9.58092e+07	2.40377e+06	2.04547e+07	2.50419e+06	1.58167e+06	3.17451e+06	2.722e+07	2.93825e+07	3.62405e+06	4.26837e+06	2.94044e+07	2.67325e+06	2.8221e+06	2.07888e+06	1.57259e+06		1.85337e+06	2.86011e+06	1.6954e+06	1.1356e+07		3.3029e+06	2.43995e+07	2.20971e+07	1.57194e+06	2.40236e+06	2.85034e+06	1.29509e+07			1.29481e+07	1.24523e+07	1.56327e+08					
P13284	P13284		IFI30			170788		210609	273237	224562	2.08878e+06	249124	155554	3.02002e+06	3.32671e+06	4.58951e+06		6.4241e+06	62678.7	311150		1.35348e+06		3.1763e+06			603298			240893	546938	4.09111e+06	78552.2	233814	656850	104612	126573		115831	3.54757e+06	306789	205149		722672		213059	1.16177e+06	464751				571417			873152	1.42581e+06						1.17774e+08
P13473	P13473		LAMP2		1.12716e+06	2.49997e+06	1.04355e+06	1.56144e+06	1.93361e+06	1.9395e+06	5.37454e+07	2.32499e+06	1.89556e+06	5.20856e+07	4.32755e+07	2.70996e+07	2.33027e+06	3.84048e+07	1.9082e+06	1.87773e+06	1.94419e+06	9.91961e+06	2.06912e+06	6.25727e+07	2.01389e+08	1.64583e+06	4.00601e+06	2.72871e+06	3.73654e+06	1.76385e+06	7.1297e+06	1.72389e+08	2.9526e+06	1.79442e+06	9.76754e+06	1.9715e+06	1.73789e+06	2.68874e+06	4.8871e+06	1.25253e+08	2.69004e+06	1.89602e+06	2.97828e+06	6.01755e+06	2.89744e+08	1.6739e+06	6.22795e+06	5.45323e+06	3.15831e+06	3.82758e+06	2.17533e+06	8.30239e+06	1.24114e+08	1.80743e+08	7.8804e+06	1.05485e+07	2.63194e+08	2.94957e+08	8.78114e+07	5.66175e+08	4.21578e+08	1.15103e+09
P13489	P13489		RNH1		5.14453e+06	4.62533e+06	5.19164e+06	4.81534e+06	4.79056e+06	4.22886e+06	1.79675e+06	4.39294e+06	4.13998e+06			421193	1.30765e+07		4.39529e+06	1.03684e+07	3.71817e+06	2.30971e+06	4.99669e+06			4.36612e+06	3.64176e+06	4.08272e+06	1.28739e+07	9.05019e+06	2.65202e+06		4.15942e+06	8.82976e+06	2.43278e+06	1.17919e+07	3.6314e+06	5.38014e+06	1.11331e+07		1.78772e+07	9.89157e+06	1.28612e+07	3.01237e+06		9.60781e+06	2.53656e+06	2.66163e+06	4.36836e+06	3.86988e+06	3.88453e+06	3.48053e+06			2.87701e+06	4.10882e+06						8.21012e+07
P13591	P13591		NCAM1		300326	184999	651632		305605	235105			419914			481679	278555	399593		787427	96136.9	1.64172e+06	214479			246797	2.98235e+06		215626	822838	2.44782e+06		152349	998132	3.35395e+06	556658	242860	274986	297085		164022	824639	318140			1.0052e+06	3.07526e+06	2.93678e+06	125451		94533.7											
P13637	P13637		ATP1A3		2.83744e+06	143544	2.46385e+06			127470							121498		85124.2		83843.1		85361.3			168309		110251									154595							395375					176089	199308	116079	414047			426718	368203						
P13639	P13639		EEF2		2.01131e+07	1.21904e+07	2.01001e+07	1.56043e+07	1.46544e+07	1.50438e+07	3.3211e+06	1.20357e+07	1.13619e+07	1.66676e+06	1.7734e+06	3.22716e+06	7.10951e+07	1.39073e+06	1.65187e+07	4.99253e+07	1.03308e+07	1.49606e+07	1.89953e+07	5.59504e+06		1.33599e+07	2.14513e+07	1.58969e+07	7.07207e+07	4.53971e+07	1.55281e+07	5.40995e+07	1.30401e+07	4.03687e+07	1.533e+07	6.66716e+07	9.12602e+06	2.10982e+07	5.30211e+07		9.05357e+07	5.03659e+07	6.35785e+07	3.30076e+07	5.33993e+08	4.04634e+07	1.40696e+07	1.51354e+07	1.80184e+07	1.03419e+07	1.0937e+07	3.69672e+07			3.64234e+07	4.16938e+07			3.03499e+07			4.78388e+08
P13645	P13645		KRT10		1.18837e+07	8.45998e+06	1.26511e+07	8.23038e+06	9.02196e+06	7.88969e+06	1.48443e+07	9.81069e+06	3.77209e+06	1.67413e+07	1.31198e+07	9.92512e+06	3.56294e+06	1.84589e+07	4.51255e+06	3.23916e+06	3.74324e+06	1.0479e+07	993279	4.44653e+07	8.50683e+07	3.92046e+06	5.29582e+06	3.44601e+06	1.7161e+06	1.91556e+06	1.74665e+07	4.22741e+07	9.82209e+06	2.18818e+06	1.4789e+07	4.12269e+06	8.49756e+06	890218	3.89769e+06	4.95057e+07	2.94749e+06	3.90707e+06	3.22885e+06	5.96087e+06	1.00503e+08	6.10176e+06	1.47092e+07	1.07675e+07	5.28822e+06	7.57758e+06	980758	6.94729e+06	1.11062e+08	1.26798e+08	6.63725e+06	7.3704e+06	1.04788e+08	2.52261e+08	1.31443e+08	7.97589e+08	1.05151e+09	1.02025e+09
P13646	P13646		KRT13			177467		375612	454946															7.58566e+06											57338.7	54172.5			1.18648e+06										24224.9													
P13647	P13647		KRT5		1.69595e+06	672836	2.00579e+06	478385	492686	544026	2.65713e+06	1.00789e+06	45150.8	2.91879e+06	2.70095e+06	811262	146871	695628	135801	164108	176497	625145		3.08093e+07	4.41507e+07	475629	295031		56052.5	76886.9	1.10314e+06	2.042e+07	543278	146992	515648	446361	138408		123213	5.48663e+07	169580	445069	127141		6.51944e+07	356894	1.97621e+06	533520	155747	201228			5.39398e+07	8.30478e+07			3.03501e+08	1.34656e+08	1.04044e+08	3.46804e+08	1.30217e+08	
P13667	P13667		PDIA4		4.86042e+06	3.96278e+06	6.00789e+06	4.12483e+06	4.03998e+06	4.29848e+06		3.53271e+06	2.86664e+06	2.41306e+06	659154		9.59176e+06	2.76753e+07	3.69937e+06	4.57228e+07	2.63475e+06	984207	3.48286e+06			3.46087e+06	1.84995e+06	2.81874e+06	1.02814e+07	4.61495e+07	1.02839e+06		4.78247e+06	3.97987e+07	1.15466e+06	4.1583e+07	3.51194e+06	3.53782e+06	6.59964e+06	2.69996e+08	1.34794e+07	4.53723e+07	9.15642e+06	6.4608e+06		4.95702e+07	1.02506e+06	2.02136e+06	3.29883e+06	2.92936e+06	4.16558e+06	6.40724e+06			6.66279e+06	5.98636e+06						
P13674	P13674		P4HA1		2.25163e+06	1.20595e+06	1.91133e+06	1.41336e+06	1.38919e+06	1.32573e+06		1.23732e+06	1.08565e+06				1.32385e+06		1.01102e+06	696598	996994		980745			1.02974e+06	486608	1.00105e+06	1.24999e+06	578533			1.10618e+06	507935		913955	855858	1.01653e+06	1.22826e+06		1.16439e+06	689371	1.3781e+06	1.16096e+06		585622		166436	955274	1.08744e+06	943766	1.21229e+06			1.37945e+06	1.10901e+06						
P13693	P13693		TPT1		974580	785085	882310	992424	951096	1.14297e+06		831666	839656				1.89732e+06		454121	1.34092e+07	580908	860026	651221			944713	9.0656e+06	493694	1.81779e+06	1.17434e+07	1.92699e+06		1.04826e+06	1.49085e+07	2.25022e+06	7.81573e+06	613588	653911	1.32877e+06		3.0509e+06	1.01233e+07	1.62588e+06	2.01467e+06		1.1026e+07	1.93718e+06	3.48454e+06	507795	575278	592289	1.85315e+06			1.48168e+06	2.31719e+06						
P13716	P13716		ALAD								7.09531e+06	123128		5.2502e+06	6.34543e+06	7.27008e+06		5.65375e+06		122124		7.03243e+06					2.26322e+06		87595.3	90952.7	4.11339e+06			149040	3.43125e+06									259023			4.72926e+06	3.76254e+06	1.90801e+06			694986			579712	594997						1.37226e+08
P13726	P13726		F3								1.33809e+06			1.51e+06	2.22795e+06	1.60095e+06		1.70121e+06				222436									19935.5																															
P13796	P13796		LCP1																			1.47489e+06					963608				1.76757e+06			172284	1.53906e+06												1.72726e+06	1.37937e+06														
P13797	P13797		PLS3		2.14067e+06	1.40172e+06	2.34249e+06	2.04669e+06	1.82696e+06	1.74079e+06		1.52192e+06	982228				2.24606e+06		764445	1.26064e+07	880570	2.5879e+06	1.0562e+06			1.35812e+06	7.56155e+06	848113	2.26006e+06	1.27543e+07	1.00126e+06		1.42367e+06	1.46672e+07	1.23082e+06	1.04635e+07	872133	1.17819e+06	1.57092e+06		3.87932e+06	1.26693e+07	2.06595e+06	1.20322e+07		1.37498e+07	2.31751e+06	1.34086e+06	932661	1.06017e+06	1.05712e+06	1.16484e+07			1.21725e+07	1.24536e+07						1.04079e+09
P13798	P13798		APEH		3.78365e+06	1.80162e+06	3.3239e+06	2.34766e+06	2.34505e+06	2.09441e+06	1.16006e+07	1.89506e+06	1.24655e+06		2.43169e+07	2.30073e+06	718803	2.92122e+07	627741	2.30806e+07	1.12801e+06	5.92004e+06	723398			1.4102e+06	3.80546e+07	783159	1.06411e+06	2.27801e+07	9.90919e+06		1.78928e+06	2.87502e+07	2.38965e+07	1.17073e+07	1.03219e+06	695942	808910		1.48425e+06	1.82566e+07	940657	2.97916e+06		2.3141e+07	1.25097e+07	2.78191e+07	525582	1.06165e+06	842283	3.02217e+06			2.49845e+06	2.56044e+06	2.03583e+08					1.39706e+08
P13807	P13807		GYS1		2.57826e+06	2.3088e+06	2.5231e+06	2.61601e+06	2.77805e+06	2.20563e+06		2.43604e+06	2.39204e+06				263565		1.30333e+06		2.28829e+06		1.60687e+06			2.38379e+06		1.61433e+06	185542				1.80925e+06				1.66768e+06	1.40706e+06	510640				231703	1.61295e+06					1.51478e+06	1.70505e+06	1.47799e+06	1.19049e+06			1.65402e+06	2.0481e+06						
P13861	P13861		PRKAR2A		2.7022e+06	2.53277e+06	2.34802e+06	1.82567e+06	1.9412e+06	2.12637e+06	2.62962e+06	1.73409e+06	1.44127e+06	906174	2.83883e+06	1.35712e+06	1.18415e+06	6.85455e+06	1.30818e+06	8.12016e+06	1.22868e+06	3.15477e+06	992716	6.42107e+06	1.69212e+07	1.3295e+06	8.536e+06	1.03427e+06	1.29769e+06	8.8927e+06	5.08769e+06	6.69724e+06	2.08418e+06	9.28974e+06	4.08269e+06	6.11042e+06	1.79122e+06	807336	1.00837e+06	9.09302e+06	1.65272e+06	6.42496e+06	1.17803e+06	1.32963e+06		8.15804e+06	4.57922e+06	5.04352e+06	724851	967370	1.34519e+06	1.25447e+06		8.92888e+06	1.21934e+06	1.43944e+06	8.3506e+06					1.05313e+08
P13928	P13928		ANXA8																																									766043								762432			769704	658491						
P13929	P13929		ENO3		4.44901e+06	4.28603e+06	6.3342e+06	3.79956e+06	4.40896e+06	3.87552e+06	4.8713e+06	2.56369e+06	1.63876e+06	1.86933e+07	6.15045e+06	8.79587e+06	2.70624e+06	5.09897e+06	1.24711e+06	1.91988e+07	1.19341e+06	5.18589e+07	1.02028e+06			1.6111e+06	7.06213e+07	981977	3.6937e+06	1.3081e+07	6.07845e+07		2.85285e+06	2.33408e+07	4.58761e+07	1.1262e+07	1.22853e+06	827508	1.38553e+06		4.13293e+06	1.73077e+07	1.76267e+06	8.80104e+06		2.296e+07	1.0815e+08	4.31989e+07		1.92955e+06		1.68327e+07			2.59142e+07	3.95636e+07	7.34904e+07			6.19184e+08		
P13984	P13984		GTF2F2		207176	388570	379360	347947	267724	262455	2.27865e+06	425897	144971	2.68199e+06	1.74324e+06	3.87356e+06	485575	3.50924e+06	94236.9	835806		1.75604e+06	97811.1			225462	1.81619e+06	127968	361844	633957	2.05712e+06		301664	616148	2.32705e+06	613493	80746.8	138152	220220		594800	592330	182450	837967		592355	1.86475e+06	1.45237e+06	143121			1.98938e+06			360354	1.50107e+06						
P13987	P13987		CD59		1.08867e+07	8.16687e+06	1.00385e+07	6.99798e+06	6.82829e+06	7.74076e+06	1.15703e+07	7.48566e+06	2.55037e+06	8.097e+06	1.12188e+07	1.27594e+07	814449	1.46945e+07	888386	871474	2.39238e+06	4.44346e+06	837937	1.54239e+07		1.91159e+06	2.57492e+06	1.0316e+06	666432	805504	2.64611e+06		5.4107e+06	720121	3.17441e+06	985096	2.86098e+06	582640	1.12694e+06	2.47138e+07	427073	862506	947953	7.95713e+06	5.44349e+07	1.05178e+06	2.58255e+06	2.18239e+06	441030	1.71407e+06	1.36989e+06	6.23227e+06		9.61848e+06	5.4687e+06	3.24232e+06						
P13995	P13995		MTHFD2		2.97461e+06	2.60075e+06	2.93379e+06	2.48547e+06	2.45622e+06	2.67401e+06		2.44293e+06	1.73294e+06				790890		1.62861e+06	269890	1.81928e+06		1.81224e+06			2.28776e+06		1.76456e+06	670435		448415		1.91901e+06	484548		387968	1.62776e+06	1.93488e+06	738367		554476	425270	828212	871498		123518			2.08405e+06	2.22479e+06	2.32442e+06	1.46989e+06			995460	2.66805e+06						
P14174	P14174		MIF		6.85725e+07	3.32049e+07	7.38607e+07	3.53467e+07	3.50477e+07	3.3174e+07	6.18453e+08	2.69723e+07	1.48779e+07	4.28306e+08	6.46435e+08	4.31601e+08	5.92403e+06	3.66563e+08	5.2015e+06	8.19791e+06	1.10105e+07	2.45729e+08	4.22261e+06	1.9922e+10	3.72704e+10	1.64485e+07	4.7438e+07	5.70264e+06	1.17159e+07	1.11762e+07	7.29453e+07	2.12653e+10	2.52322e+07	1.61774e+07	8.56093e+07	8.92738e+06	1.1409e+07	5.48509e+06	9.24478e+06	1.8748e+10	1.49975e+07	8.74624e+06	7.02031e+06	1.16611e+08	1.06536e+10	7.77882e+06	6.62851e+07	6.58731e+07	4.03828e+06	1.18384e+07	6.5346e+06	1.23745e+08	1.21769e+10	9.42983e+09	1.19612e+08	9.81111e+07	2.64624e+10	5.69448e+10	1.02095e+10	5.94879e+10	4.21992e+10	7.53875e+08
P14209	P14209		CD99					79747.5			1.6356e+06			988003	1.6175e+06	1.98069e+06		1.93515e+06		326145		757349		5.58875e+06	5.77744e+06		250710				365804	5.69516e+06		34944.3	405960					6.90162e+06				645772	4.41969e+06		285466	218541				361735	4.6612e+06	3.513e+06	382070	119346	3.67064e+06	3.57983e+06				
P14324	P14324		FDPS		2.8075e+06	2.33635e+06	3.24923e+06	2.39154e+06	2.29716e+06	2.57134e+06	2.11536e+06	2.21183e+06	2.55265e+06	1.98953e+06	1.71711e+06	1.48995e+06	3.31699e+06	827047	3.31763e+06	1.36082e+07	2.17762e+06	1.04837e+07	2.53338e+06			2.59571e+06	4.38802e+07	3.12449e+06	2.8235e+06	1.55306e+07	2.7138e+07		2.92452e+06	2.1644e+07	3.7011e+07	7.47946e+06	2.96543e+06	2.88846e+06	3.36912e+06		3.77186e+06	1.17952e+07	2.9704e+06	5.52312e+06		1.82239e+07	3.14174e+07	4.00475e+07	2.64496e+06	2.73336e+06	2.74368e+06	5.81452e+06			5.11968e+06	5.78727e+06						3.67297e+08
P14373	P14373		TRIM27							641768		502036	242957					551267			196476		103020			269465		128698					185331				194571							635370					134586	172173	158288	685657			608054	633295						
P14384	P14384		CPM		9.77584e+06	1.1374e+07	1.0139e+07	1.15461e+07	1.04226e+07	1.04524e+07	3.03761e+07	1.0151e+07	3.05495e+06	3.33072e+07	2.40542e+07	2.36832e+07	391284	2.68229e+07	525168	346402	3.20159e+06	1.28809e+07	593659	1.84894e+07	9.18029e+06	2.88984e+06	1.01885e+06	608944	449597	263347	2.43319e+06	1.38728e+07	7.93011e+06	411009	2.03366e+06	326283	2.99949e+06	532577	621838	1.78283e+07	614908	340679	485398	1.41563e+06	2.1771e+07	364433	2.27292e+06	1.5676e+06	384852	1.54821e+06	1.32548e+06	1.01814e+06	4.15823e+07	2.58533e+07	1.28668e+06	1.64607e+06	2.4466e+07	3.47085e+07	4.88926e+07		6.91731e+07	2.32559e+08
P14406	P14406		COX7A2		5.69465e+06	6.75412e+06	5.89434e+06	8.51258e+06	6.86844e+06	6.30281e+06	1.75317e+06	6.44508e+06	7.84324e+06	2.66576e+06	2.85219e+06	2.66323e+06	2.12562e+06	3.71851e+06	4.71642e+06	1.45757e+06	7.98258e+06	5.66365e+06	3.40973e+06			6.67814e+06	4.78124e+06	3.96966e+06	1.62864e+06	2.08381e+06	7.70735e+06		6.10364e+06	1.23001e+06	6.47006e+06	887825	6.84928e+06	5.30409e+06	2.06988e+06		1.57976e+06	1.9012e+06	1.77752e+06	5.80906e+06		2.7583e+06	1.15189e+07	8.83878e+06	8.04916e+06	9.47101e+06	9.93219e+06	6.65361e+06			7.4785e+06	6.13784e+06						1.20214e+08
